DataSize,NodeCount,Trial,Method,F1_TKDE,Sensitivity_TKDE,Precision_TKDE,Specificity_TKDE,SHD_FPFN,SHD_Rev1,TP,FP,FN,TN,ReversedEdges,Score,Iterations,EdgeCount
1499,31,9,AdaCSE,0.135593220338983,0.142857142857143,0.129032258064516,0.939051918735892,51,45,4,27,24,416,6,-41914.5324206972,200,31
1499,31,9,PSX,0.158730158730159,0.178571428571429,0.142857142857143,0.931972789115646,53,49,5,30,23,411,4,-42634.9089938391,200,35
1499,31,9,EKGA-std,0.0588235294117647,0.0714285714285714,0.05,0.914221218961625,64,58,2,38,26,405,6,-42726.7891431703,100,40
1499,31,9,AESL-GA,0.0677966101694915,0.0714285714285714,0.0645161290322581,0.934389140271493,55,50,2,29,26,413,5,-42344.747382096,200,31
1499,31,9,hybrid-SLA,0.0327868852459016,0.0357142857142857,0.0303030303030303,0.928089887640449,59,51,1,32,27,413,8,-41959.4987797276,200,33
1499,31,9,MIGA,0.166666666666667,0.178571428571429,0.15625,0.938914027149321,50,45,5,27,23,415,5,-41950.1268764306,200,32
1499,31,9,MAGA,0.101694915254237,0.107142857142857,0.0967741935483871,0.936794582392777,53,47,3,28,25,415,6,-41986.6729645252,200,31
1499,31,10,AdaCSE,0.1,0.107142857142857,0.09375,0.934684684684685,54,47,3,29,25,415,7,-41857.2677071112,200,32
1499,31,10,PSX,0.169491525423729,0.178571428571429,0.161290322580645,0.940909090909091,49,46,5,26,23,414,3,-42514.5678032183,200,31
1499,31,10,EKGA-std,0.147058823529412,0.178571428571429,0.125,0.920814479638009,58,53,5,35,23,407,5,-42655.5105714783,100,40
1499,31,10,AESL-GA,0.135593220338983,0.142857142857143,0.129032258064516,0.938914027149321,51,46,4,27,24,415,5,-42015.2156207852,200,31
1499,31,10,hybrid-SLA,0.1,0.107142857142857,0.09375,0.934684684684685,54,47,3,29,25,415,7,-41889.0373192697,200,32
1499,31,10,MIGA,0.133333333333333,0.142857142857143,0.125,0.936794582392777,52,46,4,28,24,415,6,-41893.8775353428,200,32
1499,31,10,MAGA,0.163934426229508,0.178571428571429,0.151515151515152,0.936651583710407,51,46,5,28,23,414,5,-42048.2077143784,200,33
